_time;vcc;vpanel;tmp;hum;s0;s1;s2;s3;s4;s5;s6;s7;s8;s9;value;sensor_name
2024-06-03 17:42:00+00:00;3,495;2,677;38,52;31,112;95400;4607400;4120700;3744900;462400;431700;406000;85700;97800;108900;fire;Tree31
2024-06-03 17:44:00+00:00;3,495;2,679;37,06;33,084;79000;3699200;3378800;3093600;384000;358400;341200;76300;93900;104400;fire;Tree31
2024-06-03 17:45:00+00:00;3,494;2,688;35,54;35,43;69900;3058900;2740700;2461500;318300;308200;297500;78000;100100;116900;fire;Tree31
2024-06-03 17:46:00+00:00;3,492;2,696;34,27;37,092;70100;3084900;2743400;2365500;295400;272100;254400;63400;71600;82500;fire;Tree31
2024-06-03 17:47:00+00:00;3,493;2,718;33,33;39,25;70000;2979900;2782600;2537000;320100;302500;286700;72200;88600;101500;fire;Tree31
2024-06-03 17:49:00+00:00;3,491;2,714;32,45;40,587;73000;3195000;2891600;2612200;327700;314200;301100;76400;92500;105400;fire;Tree31
2024-06-03 17:50:00+00:00;3,491;2,68;31,64;42,294;65500;2645100;2407200;1975400;240100;212700;193600;51700;57300;60300;fire;Tree31
2024-06-03 17:51:00+00:00;3,492;2,631;31;43,447;51200;1875000;1761300;1572600;210900;200500;190800;58800;75400;91500;fire;Tree31
2024-06-03 17:52:00+00:00;3,492;2,582;30,55;44,864;56300;2111300;1945800;1609700;204900;182200;165900;46000;51700;51800;fire;Tree31
2024-06-03 17:54:00+00:00;3,491;2,527;30,22;46,032;36400;1145000;1037200;816400;111300;98500;86600;26800;27800;29400;fire;Tree31
2024-06-03 17:56:00+00:00;3,491;2,471;29,51;46,97;42500;1368900;1287600;1077300;151100;140100;129700;38400;44000;48600;fire;Tree31
2024-06-03 17:59:00+00:00;3,488;2,439;28,81;48,481;34600;998500;925400;786300;117500;108200;99700;32500;37400;42200;fire;Tree31
2024-06-03 18:00:00+00:00;3,487;2,447;28,5;49,633;31400;855200;803400;664500;101800;92400;85900;31700;39700;45800;fire;Tree31
2024-06-03 18:01:00+00:00;3,489;2,48;28,24;49,241;44400;1373100;1340700;1218600;174000;163200;157600;51000;64800;77600;fire;Tree31
2024-06-03 18:02:00+00:00;3,488;2,475;27,9;50,187;53500;1745500;1669700;1350000;195200;178000;164800;51500;64300;77200;fire;Tree31
2024-06-03 18:04:00+00:00;3,487;3,142;27,6;50,524;61200;2126100;2068100;1859700;255000;238600;227500;62700;75800;88200;fire;Tree31
2024-06-03 18:05:00+00:00;3,486;2,457;27,34;51,302;59400;2028200;1955500;1745500;221500;201200;192300;59500;72900;82600;fire;Tree31
2024-06-03 18:06:00+00:00;3,485;2,424;27,1;51,7;69000;2541700;2509000;2309500;303000;288400;276000;74400;91700;108900;fire;Tree31
2024-06-03 18:07:00+00:00;3,483;2,387;26,82;52,225;82600;3299200;3263700;2935100;361000;336800;317100;78400;94600;107200;fire;Tree31
2024-06-03 18:09:00+00:00;3,483;2,361;26,58;53,041;78600;3091900;3067500;2808300;360300;342500;330000;84600;102600;115600;fire;Tree31
2024-06-03 18:10:00+00:00;3,48;2,318;26,38;53,524;85500;3491100;3482200;3215700;409100;388000;366100;89600;111300;129800;fire;Tree31
2024-06-03 18:11:00+00:00;3,48;2,286;26,19;53,6;103400;4413700;4388900;4074600;496000;466800;442300;94100;107600;120200;fire;Tree31
2024-06-03 18:12:00+00:00;3,478;2,262;26,02;53,607;100200;4312700;4275500;4086800;505100;486400;471900;107100;130000;150900;fire;Tree31
2024-06-03 18:14:00+00:00;3,476;2,254;25,85;54,236;117100;5448600;5384100;5107200;626100;600700;579300;122600;146500;165900;fire;Tree31
2024-06-03 18:15:00+00:00;3,473;2,26;25,7;54,665;120400;5710700;5576500;5174900;623800;591900;567300;119400;140000;156600;fire;Tree31
2024-06-03 18:16:00+00:00;3,472;2,275;25,57;55,064;121500;5783200;5657400;5249500;623800;584800;552100;113600;130100;145400;fire;Tree31
2024-06-03 18:18:00+00:00;3,47;2,26;25,46;55,363;104100;4735200;4619100;4252200;496300;454100;426500;95000;108600;116900;fire;Tree31
